gene_name	count	amino_acid_length	length
OR2B2	1	357	1211
OR2B3	4	313	1105
OR2B6	4	313	941
OR2C1	31	312	1035
OR2C3	4	320	3707
OR2D2	4	308	1109
OR2D3	2	330	1059
OR2F1	11	317	1081
OR2F2	7	317	1113
OR2G2	18	317	953
OR2G3	9	309	982
OR2G6	13	316	1048
OR2H2	12	312	1062
OR2J2	2	312	1040
OR2J3	8	311	773
OR2K2	7	345	1037
OR2L13	2	312	163731
OR2L2	13	312	1133
OR2L3	34	312	938
OR2L8	72	312	938
OR2M2	16	347	1043
OR2M3	12	312	1060
OR2M4	3	311	935
OR2M5	16	312	938
OR2M7	3	312	1005
OR2S2	3	319	1046
OR2T1	4	369	1109
OR2T10	2	312	1048
OR2T11	7	316	1071
OR2T12	2	320	962
OR2T2	28	324	1053
OR2T27	55	317	953
OR2T3	63	318	1007
OR2T33	19	320	1065
OR2T34	34	318	1058
OR2T35	297	323	971
OR2T4	71	348	1046
OR2T5	18	315	1013
OR2T6	1	308	926
OR2T8	105	312	938
OR2V2	66	315	947
OR2W1	1	320	1027
OR2W3	124	314	29172
OR2Y1	7	311	1057
OR2Z1	14	314	1055
OR3A1	9	315	947
OR3A2	7	321	1075
OR3A3	2	321	965
OR4A15	14	344	1034
OR4A16	71	328	1080
OR4A47	4	309	1063
OR4A5	14	315	1070
OR4B1	5	309	970
OR4C11	5	310	1044
OR4C12	4	309	1062
OR4C13	7	309	1028
OR4C15	6	370	1112
OR4C16	23	310	932
OR4C3	1328	329	1035
OR4C46	17	309	929
OR4C6	2	309	1057
OR4D1	11	310	1023
OR4D2	7	307	923
OR4D5	7	318	1094
OR4D6	8	314	1053
OR4D9	4	314	944
OR4E2	6	313	941
OR4F15	7	312	984
OR4F16	3	312	994
OR4F17	8	305	4225
OR4F21	15	312	994
OR4F29	2	312	994
OR4F3	5	312	994
OR4F5	1	305	917
OR4F6	5	312	974
OR4K1	4	311	1075
OR4K13	11	304	916
OR4K14	4	310	933
OR4K15	1	348	1215
OR4K17	3	343	1031
OR4K2	6	314	1077
OR4K5	8	323	1077
OR4L1	1733	312	938
OR4M1	9	313	1115
OR4M2	16	313	1083
OR4N2	130	307	109357
OR4N4	72	316	1125
OR4N5	5	308	926
OR4Q3	23	313	941
OR4S1	7	309	929
OR4S2	8	311	935
OR4X1	205	305	917
OR4X2	14	303	1014
OR51A2	5	313	941
OR51A4	11	313	1001
OR51A7	8	312	938
OR51B2	1	312	1041
OR51B4	2	310	982
OR51B5	195	312	1065
OR51B6	5	312	938
OR51D1	11	324	1123
OR51E1	8	318	12068
OR51E2	15	320	17683
OR51F1	4	319	959
OR51F2	11	342	1135
OR51G1	17	321	1106
OR51G2	3	314	1022
OR51I1	3	314	944
OR51I2	11	312	1069
OR51L1	5	315	947
OR51Q1	11	317	1095
OR51S1	9	323	1087
OR51T1	7	354	1064
OR51V1	3	321	965
OR52A1	110	312	35373
OR52A5	1	316	950
OR52B4	3	314	1123
OR52B6	3	335	1007
OR52D1	102	318	1064
OR52E2	3	325	977
OR52E4	3	312	1026
OR52E8	8	317	1060
OR52H1	18	320	1060
OR52I2	39	350	1114
OR52J3	1	311	935
OR52K1	13	314	1029
OR52K2	4	314	1066
OR52L1	3	329	1093
OR52M1	26	317	953
OR52N1	22	320	962
OR52N2	13	321	1034
OR52N4	8	321	1036
OR52N5	2	324	1033
OR52R1	7	394	1184
OR52W1	19	320	1113
OR56A1	8	318	1070
OR56A3	2	315	1021
OR56A4	2	365	1208
OR56B1	1	324	1087
OR56B4	6	319	1151
OR5A1	1	315	1050
OR5A2	4	324	1033
OR5AC2	3	309	929
OR5AK2	4	309	995
OR5AN1	3	311	1036
OR5AP2	19	317	1005
OR5AR1	4	310	1025
OR5AS1	11	324	974
OR5AU1	11	362	1196
OR5B12	10	314	1053
OR5B17	2	314	945
OR5B2	6	309	1048
OR5B21	10	309	930
OR5B3	29	314	945
OR5C1	2	320	1087
OR5D13	18	314	944
OR5D14	7	314	944
OR5D16	1	328	986
OR5D18	6	313	987
OR5F1	14	314	944
OR5H1	19	313	941
OR5H14	40	310	1079
OR5H15	20	313	941
OR5H2	11	314	944
OR5H6	912	325	1112
OR5I1	4	314	944
OR5J2	9	312	938
OR5K1	19	308	1096
OR5K2	8	316	1048
OR5K3	165	321	965
OR5K4	6	321	965
OR5L1	15	311	1098
OR5L2	9	311	935
OR5M3	55	307	1050
OR5M8	14	311	1046
OR5M9	9	310	932
OR5P2	43	322	1068
OR5P3	9	311	935
OR5R1	7	324	974
OR5T1	5	326	1117
OR5T2	8	359	1247
OR5T3	6	340	1022
OR5V1	3	321	76268
OR6A2	5	327	1372
OR6B1	4	311	1046
OR6B2	8	312	1065
OR6B3	3	331	995
OR6C1	15	312	1062
OR6C2	13	312	938
OR6C3	2	311	935
OR6C4	9	309	1045
OR6C6	6	314	944
OR6C65	9	312	1075
OR6C68	12	317	953
OR6C70	1	312	938
OR6C74	2	312	1104
OR6C75	5	312	938
OR6C76	5	312	938
OR6K2	4	324	1117
OR6K3	5	331	995
OR6K6	6	343	1171
OR6M1	13	313	1052
OR6N1	8	312	1026
OR6N2	9	317	953
OR6Q1	6	317	1001
OR6S1	5	331	995
OR6T1	14	323	1088
OR6V1	6	313	1027
OR6X1	7	312	1057
OR6Y1	7	325	977
OR7A10	6	309	929
OR7A17	6	309	1126
OR7A5	5	319	42886
OR7C1	19	320	1065
OR7C2	6	319	959
OR7D2	3	312	3214
OR7D4	5	312	1016
OR7E24	12	339	1214
OR7G1	2	333	1165
OR7G2	6	345	1037
OR7G3	113	312	938
OR8A1	4	326	1144
OR8B12	2	310	997
OR8B2	10	313	967
OR8B3	26	313	986
OR8B4	2	309	982
OR8B8	9	311	1032
OR8D1	4	308	1025
OR8D2	11	311	1050
OR8D4	4	314	1074
OR8H1	1	311	1037
OR8H2	7	312	938
OR8H3	17	312	938
OR8I2	44	310	1009
OR8J1	14	316	1073
OR8J3	1	315	947
OR8K1	1	319	1086
OR8K3	4	312	938
OR8K5	5	307	923
OR8S1	6	359	22543
OR8U1	393	309	929
OR9A2	11	310	1037
OR9A4	5	314	1092
OR9G1	6	305	917
OR9G4	2	327	984
OR9I1	4	314	944
OR9K2	7	335	1121
OR9Q1	2	310	157735
OR9Q2	2	314	1084
ORAI2	4	254	23715
ORAI3	8	295	7395
ORAOV1	5	149	22340
ORC1	8	861	31630
ORC2	64	577	54707
ORC3	5	712	77330
ORC4	3	436	91179
ORC5	3	435	81707
ORC6	3	252	8751
ORM1	3	201	3419
ORM2	2	201	3383
ORMDL1	1	153	14048
ORMDL2	6	153	3960
ORMDL3	7	153	6560
OS9	5	667	27602
OSBP	6	807	41746
OSBP2	12	916	214042
OSBPL10	19	764	419690
OSBPL11	10	747	66232
OSBPL1A	14	950	235836
OSBPL2	6	480	57688
OSBPL3	4	887	185095
OSBPL5	15	879	79623
OSBPL6	10	959	204952
OSBPL7	12	842	14462
OSBPL8	5	889	208012
OSBPL9	4	754	212038
OSCAR	2	286	8024
OSCP1	6	389	34658
OSGEP	5	335	8694
OSGEPL1	6	414	16567
OSGIN1	23	560	18050
OSGIN2	4	549	26029
OSM	6	252	4011
OSMR	21	979	99738
OSR1	2	266	7168
OSR2	8	433	7701
OSTF1	2	214	58722
OSTM1	3	334	124445
OTC	1	354	68905
OTOA	21	1153	82215
OTOF	18	1997	101495
OTOL1	4	477	7134
OTOP1	175	612	38086
OTOP2	11	562	9637
OTOP3	8	596	14273
OTOR	6	128	21704
OTOS	1	89	5533
OTP	11	325	10975
OTUB1	4	308	15958
OTUB2	1	234	22601
OTUD1	3	481	3110
OTUD3	2	398	30432
OTUD4	115	1114	69323
OTUD5	6	571	36343
OTUD6A	6	288	1688
OTUD6B	6	323	16899
OTUD7A	249	933	387663
OTUD7B	17	843	70405
OTX1	5	354	7779
OTX2	1	297	9772
OVCA2	12	227	1397
OVGP1	270	678	13463
OVOL1	19	267	10197
OVOL2	3	275	102209
OXA1L	10	495	5276
OXCT2	3	517	1825
OXER1	14	423	1759
OXGR1	4	337	9011
OXLD1	1	147	1599
OXNAD1	3	330	85100
OXR1	10	874	482449
OXSM	9	459	11617
OXSR1	4	527	90399
OXTR	7	389	19220
P2RX1	7	399	19908
P2RX2	28	497	3606
P2RX3	2	397	32225
P2RX4	4	404	24249
P2RX5	12	432	24205
P2RX6	8	441	19022
P2RX7	9	595	53254
P2RY1	10	373	3105
P2RY10	1	339	16622
P2RY11	15	374	3834
P2RY12	1	342	47432
P2RY13	2	354	3236
P2RY14	1	338	66350
P2RY2	15	377	18054
P2RY4	118	365	1638
P2RY6	4	328	34112
P2RY8	4	359	74535
P4HA1	1	534	89757
P4HA2	2	535	103477
P4HA3	14	604	75856
P4HB	8	508	17535
P4HTM	39	563	17268
PA2G4	38	394	9588
PAAF1	4	393	51046
PABPC1	1086	636	36993
PABPC1L	10	614	48973
PABPC3	95	631	3089
PABPC4	6	660	15974
PABPC5	6	382	3989
PABPN1	1	306	4896
PABPN1L	9	297	5034
PACRG	5	296	588360
PACRGL	12	248	56625
PACS1	6	963	174384
PACS2	21	904	97584
PACSIN1	10	444	69090
PACSIN2	8	486	179733
PACSIN3	8	424	8918
PADI1	9	663	40879
PADI2	8	665	52692
PADI3	28	664	35135
PADI4	9	663	55809
PAEP	2	180	5199
PAF1	8	531	5343
PAFAH1B1	2	410	92405
PAFAH1B2	4	229	32627
PAFAH2	1	392	38390
PAG1	3	432	144258
PAGE1	12	146	8543
PAGE2	2	111	3834
PAGR1	3	254	14663
PAICS	27	432	25627
PAIP1	4	479	31491
PAIP2B	1	123	44344
PAK1	4	553	152928
PAK1IP1	3	392	15087
PAK2	21	524	92790
PAK3	1	580	283076
PAK4	6	591	57046
PAK6	6	681	60059
PAK7	10	719	301653
PALB2	13	1186	38143
PALD1	12	856	89628
PALLD	14	1123	431391
PALM	13	387	39376
PALM2	3	413	310687
PALM2-AKAP2	27	1103	392203
PALM3	21	673	5794
PALMD	6	551	48598
PAM	12	974	277124
PAM16	1	145	24058
PAMR1	11	737	98478
PAN2	8	1202	17830
PAN3	10	887	156832
PANK1	3	598	62470
PANK2	9	570	38119
PANK3	1	370	31105
PANK4	28	773	18067
PANX1	4	426	53044
PANX2	16	677	9563
PANX3	6	392	8866
PAOX	12	511	12503
PAPD4	2	484	74528
PAPD7	4	542	42443
PAPL	3	438	27580
PAPLN	44	1278	37143
PAPOLA	6	745	65678
PAPOLG	20	736	45855
PAPPA	18	1627	248518
PAPPA2	26	1791	382428
PAPSS1	7	624	130175
PAPSS2	185	619	88092
PAQR3	2	311	52311
PAQR4	15	273	4244
PAQR5	4	330	108833
PAQR6	1	363	4675
PAQR7	4	346	10043
PAQR8	1	354	46356
PAQR9	6	377	14172
PARD3	27	1356	705765
PARD3B	20	1205	1074370
PARD6A	1	346	1832
PARD6B	4	372	25251
PARD6G	2	376	90314
PARK2	6	465	1380351
PARK7	10	189	31214
PARL	12	379	55548
PARM1	7	310	117020
PARN	10	639	197027
PARP1	7	1014	47388
PARP10	7	1037	35619
PARP11	2	338	82395
PARP12	4	701	39977
PARP14	18	1801	50222
PARP15	6	678	61445
PARP16	30	323	66158
PARP2	7	583	14323
PARP3	12	540	6522
PARP4	44	1724	91884
PARP6	18	630	31818
PARP8	36	854	180623
PARP9	13	854	36653
PARPBP	6	656	77342
PARS2	7	475	7616
PARVA	1	412	153616
PARVB	1	397	173738
PARVG	14	331	46577
PASD1	160	773	113117
PASK	30	1330	44165
PATE3	2	98	3489
PATE4	1	98	6753
PATL1	10	770	32264
PATL2	8	543	45584
PATZ1	5	687	20428
PAWR	2	340	116118
PAX1	13	534	10323
PAX2	2	419	94338
PAX3	6	505	99108
PAX4	9	348	5636
PAX5	6	391	200831
PAX6	59	436	33169
PAX7	8	520	117860
PAX8	7	450	62953
PAX9	3	341	22147
PAXBP1	7	917	37959
PAXIP1	4	1069	59397
PBDC1	4	233	5268
PBK	1	333	28475
PBLD	2	288	50389
PBX1	4	430	343712
PBX2	2	430	5442
PBX3	5	455	220032
PBX4	4	374	57203
PBXIP1	16	731	12047
PC	16	1178	110143
PCBD1	2	104	6504
PCBD2	3	130	103053
PCBP1	2	356	1747
PCBP2	1	366	39421
PCBP3	5	371	298760
PCBP4	5	424	10956
PCCA	7	728	441417
PCCB	18	570	87590
PCDH1	14	1237	25873
PCDH10	10	1040	58886
PCDH11X	8	1347	843969
PCDH11Y	2	1340	741998
PCDH12	135	1184	26154
PCDH15	56	1957	1825171
PCDH17	20	1159	97501
PCDH18	17	1135	13576
PCDH19	14	1148	118629
PCDH20	2	951	18402
PCDH7	3	1255	426385
PCDH8	8	1070	4666
PCDH9	4	1237	927501
PCDHA10	26	948	156334
PCDHA11	28	949	143240
PCDHA12	26	941	136871
PCDHA13	22	950	130136
PCDHA6	22	950	184366
PCDHAC1	16	963	85627
PCDHAC2	10	1007	46116
PCDHB1	10	818	2533
PCDHB10	345	800	3273
PCDHB11	55	797	3435
PCDHB12	20	795	3427
PCDHB13	18	798	3484
PCDHB14	24	798	2927
PCDHB15	13	787	2652
PCDHB16	11	776	4813
PCDHB2	20	798	2735
PCDHB3	35	796	3172
PCDHB4	8	795	3620
PCDHB5	16	795	2903
PCDHB6	37	794	3185
PCDHB7	20	793	3714
PCDHB8	26	801	2710
PCDHGA1	1	931	182294
PCDHGA10	15	936	99803
PCDHGA11	71	935	91073
PCDHGA12	12	932	82361
PCDHGA2	25	932	174007
PCDHGA3	15	932	168945
PCDHGA4	1	931	157778
PCDHGA5	1	931	148648
PCDHGA6	1	932	138895
PCDHGA7	1	932	130079
PCDHGA8	69	932	120165
PCDHGA9	1	932	110026
PCDHGB1	1	927	162718
PCDHGB2	1	931	152843
PCDHGB3	1	929	142715
PCDHGB4	1	923	125094
PCDHGB6	1	930	104776
PCDHGB7	21	929	95119
PCDHGC3	8	934	36962
PCDHGC4	9	938	27805
PCDHGC5	4	944	23738
PCDP1	182	840	117819
PCED1A	41	454	5876
PCED1B	3	432	157057
PCF11	6	1555	30463
PCGF1	2	259	3537
PCGF3	1	242	64891
PCGF5	3	256	64180
PCGF6	80	350	48338
PCID2	2	453	31138
PCIF1	4	704	13395
PCK1	6	622	5377
PCK2	21	640	16545
PCLO	295	5142	408917
PCM1	206	2024	105129
PCMT1	3	286	61977
PCMTD1	296	357	81595
PCMTD2	3	361	39761
PCNP	1	178	20342
PCNT	58	3336	121646
PCNX	45	2341	207977
PCNXL2	39	2137	312278
PCNXL3	37	2034	21666
PCOLCE	7	449	5998
PCOLCE2	2	415	73281
PCP2	2	136	2137
PCP4	1	62	62079
PCSK1	8	753	43728
PCSK1N	3	260	4531
PCSK2	4	638	258471
PCSK4	13	755	9324
PCSK5	6	1860	471695
PCSK7	9	785	28188
PCSK9	35	692	25304
PCTP	2	219	91851
PCYOX1	7	505	23805
PCYOX1L	14	494	11646
PCYT1A	10	380	73735
PCYT1B	2	369	114590
PCYT2	11	407	10499
PDAP1	2	181	16781
PDC	5	246	17556
PDCD1	6	288	9027
PDCD10	3	212	51641
PDCD11	40	1871	49644
PDCD1LG2	16	273	60737
PDCD2	2	344	9397
PDCD2L	6	358	21784
PDCD4	6	469	28199
PDCD6	189	191	82235
PDCD6IP	4	873	71350
PDCD7	4	485	16457
PDCL	1	301	30242
PDCL2	3	241	35687
PDCL3	7	239	14045
PDDC1	1	250	10268
PDE10A	11	789	659315
PDE11A	230	933	485086
PDE12	5	609	10568
PDE1A	3	552	383156
PDE1B	8	536	29889
PDE1C	7	769	548148
PDE2A	4	941	98450
PDE3A	13	1141	315136
PDE3B	16	1112	227081
PDE4A	11	886	52856
PDE4B	5	736	582062
PDE4C	13	712	47458
PDE4D	1	809	1553082
PDE4DIP	766	2482	143552
PDE5A	16	875	134596
PDE6A	17	860	86837
PDE6B	9	854	45198
PDE6C	14	858	53422
PDE6D	1	150	53847
PDE7B	3	450	343878
PDE8A	11	829	158705
PDE8B	17	885	219358
PDE9A	7	593	121873
PDF	7	243	1974
PDGFA	5	211	23038
PDGFB	4	241	21392
PDGFC	9	345	210940
PDGFD	4	370	257193
PDGFRB	7	1106	42035
PDGFRL	7	375	67638
PDHA1	1	428	17812
PDHA2	8	388	1386
PDHB	6	359	6227
PDHX	6	501	104762
PDIA2	40	525	4063
PDIA3	4	505	26887
PDIA4	9	645	25579
PDIA6	11	492	54586
PDILT	9	584	45567
PDK1	6	456	69722
PDK2	1	407	17415
PDK3	1	415	74616
PDK4	11	411	12992
PDLIM1	4	329	53452
PDLIM2	8	602	19746
PDLIM3	5	364	33915
PDLIM4	2	330	15783
PDLIM5	2	625	216340
PDLIM7	5	457	14212
PDP1	5	562	68259
PDP2	9	529	17165
PDPK1	2	556	65224
PDPN	5	238	34492
PDPR	81	879	47674
PDRG1	2	133	7137
PDS5A	20	1337	155093
PDS5B	33	1447	191593
PDSS1	1	415	49139
PDSS2	1	399	307007
PDX1	5	283	6211
PDXDC1	10	806	164748
PDXK	1	312	43213
PDXP	5	296	8207
PDYN	4	254	15329
PDZD2	98	2839	471520
PDZD3	21	571	4766
PDZD4	8	769	28399
PDZD7	2	517	23450
PDZD8	15	1154	94978
PDZD9	15	264	17247
PDZK1	12	519	37156
PDZK1IP1	1	114	7451
PDZRN3	11	1066	242507
PDZRN4	2	1036	386142
PEA15	1	151	10039
PEAK1	18	1746	312015
PEAR1	15	1037	22736
PEBP1	5	187	9726
PEBP4	11	227	286744
PECR	4	303	86626
PEF1	1	284	15034
PEG3	52	1588	30651
PELI1	7	418	51802
PELI2	6	420	183712
PELI3	3	469	10592
PELO	4	385	16106
PEMT	6	236	86145
PENK	4	267	10060
PEPD	10	493	134844
PER1	23	1290	16034
PER2	12	1255	46064
PER3	107	1210	60857
PERP	7	193	19006
PES1	21	588	30458
PET112	6	557	90519
PEX1	22	1283	41511
PEX10	5	346	9000
PEX11A	1	247	13019
PEX11B	3	259	7478
PEX11G	2	241	20574
PEX12	14	359	4068
PEX13	2	403	34765
PEX14	2	377	158470
PEX16	2	346	9143
PEX19	5	299	9536
PEX2	7	305	20786
PEX26	11	305	53216
PEX3	2	373	39203
PEX5	10	660	29889
PEX5L	9	626	242095
PEX6	15	980	15350
PEX7	2	323	91358
PF4	1	101	1047
PF4V1	2	104	966
PFAS	39	1338	22873
PFDN1	4	122	58082
PFDN2	1	154	17555
PFDN5	2	154	4159
PFKFB1	7	471	65573
PFKFB2	3	505	31568
PFKFB3	6	534	90614
PFKFB4	5	469	44331
PFKL	8	827	27325
PFKM	4	851	41265
PFKP	9	784	71379
PFN2	2	188	85884
PFN3	2	137	529
PFN4	2	129	8106
PGA3	2	388	9791
PGA4	10	388	29241
PGA5	10	388	10406
PGAM1	2	254	7281
PGAM2	8	253	2860
PGAM4	3	254	1677
PGAM5	7	289	11823
PGAP1	15	922	94792
PGAP2	1	344	28647
PGAP3	2	320	25675
PGBD1	5	809	21012
PGBD2	4	592	13750
PGBD3	15	1061	23935
PGBD4	7	585	2317
PGBD5	5	554	104083
PGC	6	388	17398
PGD	4	483	21552
PGF	21	221	13950
PGGT1B	2	377	52042
PGK1	4	417	64108
PGK2	11	417	1687
PGLS	11	258	9659
PGLYRP1	1	196	3912
PGLYRP2	5	634	30311
PGLYRP3	10	341	12856
PGLYRP4	7	373	18720
PGM1	4	580	66969
PGM2	8	612	36303
PGM2L1	2	622	68155
PGM3	23	570	32786
PGM5	12	567	170977
PGP	3	321	2810
PGPEP1	3	209	29363
PGR	13	933	100900
PGRMC1	3	195	8213
PGS1	9	556	46474
PHACTR2	19	645	294340
PHACTR3	7	559	270202
PHACTR4	15	712	130767
PHB	2	272	10832
PHC1	2	1004	27571
PHC2	9	859	107429
PHC3	16	995	95017
PHEX	6	749	218868
PHF1	2	567	6054
PHF10	27	498	20150
PHF12	9	1004	46521
PHF13	2	300	10348
PHF14	12	888	195751
PHF15	14	834	0
PHF16	21	823	148808
PHF17	13	842	0
PHF19	2	580	21629
PHF2	15	1096	103180
PHF20	4	1012	178407
PHF20L1	11	1017	73434
PHF21A	429	681	192114
PHF21B	6	531	128838
PHF23	3	403	4694
PHF3	15	2039	143504
PHF5A	1	110	9008
PHF6	1	366	55537
PHF7	3	381	12984
PHF8	18	1060	112282
PHGDH	5	533	84417
PHGR1	56	82	5401
PHIP	6	1821	142369
PHKA1	28	1240	135503
PHKA2	27	1235	92298
PHKB	21	1093	240400
PHKG1	7	419	12249
PHKG2	4	410	12899
PHLDA1	377	401	8485
PHLDA2	55	152	1182
PHLDB1	20	1377	51540
PHLDB2	24	1253	244020
PHLDB3	2	640	29981
PHLPP1	17	1717	264994
PHLPP2	36	1358	86866
PHOSPHO1	20	292	7404
PHOSPHO2	4	241	7243
PHOX2A	4	284	6587
PHOX2B	1	314	4888
PHPT1	1	125	2312
PHRF1	179	1649	35736
PHTF1	17	762	62658
PHTF2	7	785	158696
PHYH	6	338	24616
PHYHD1	1	297	21146
PHYHIPL	4	376	71184
PI15	2	258	30492
PI16	3	463	10404
PI3	3	117	1668
PI4K2A	4	449	89536
PI4KA	27	2102	151726
PI4KB	9	828	35918
PIANP	3	282	7008
PIAS1	3	653	136579
PIAS2	2	621	111770
PIAS3	10	628	11313
PIAS4	15	510	31740
PIBF1	61	757	234394
PICALM	12	652	112197
PICK1	10	415	19390
PID1	1	250	420759
PIDD	85	910	10574
PIF1	77	707	10036
PIFO	1	191	6725
PIGC	3	297	73901
PIGF	4	219	36182
PIGG	14	983	40996
PIGH	1	188	18332
PIGK	3	395	130440
PIGL	2	252	131610
PIGM	4	423	4321
PIGN	5	931	143551
PIGO	40	1089	7906
PIGP	4	158	14000
PIGQ	11	760	17141
PIGR	11	764	17948
PIGS	1	555	18489
PIGT	21	578	10167
PIGU	3	435	116564
PIGV	14	493	10926
PIGW	4	504	4281
PIGZ	11	579	22717
PIH1D1	3	290	7199
PIH1D2	2	315	10264
PIK3AP1	11	805	127202
PIK3C2A	36	1686	130253
PIK3C2B	17	1634	72096
PIK3C2G	320	1486	400800
PIK3C3	8	887	132623
PIK3CB	6	1070	180920
PIK3CD	29	1068	77382
PIK3CG	6	1102	41867
PIK3IP1	4	263	10941
PIK3R2	21	728	17422
PIK3R3	2	507	136348
PIK3R4	54	1358	67894
PIK3R5	7	880	86796
PIKFYVE	22	2098	92484
PILRA	18	303	32566
PILRB	134	271	31619
PIM1	16	313	5223
PIM2	5	311	5842
PIM3	8	326	3567
PIN4	3	156	121573
PINK1	13	581	18056
PINX1	12	328	74921
PION	8	854	0
PIP	2	146	7669
PIP4K2A	9	406	179706
PIP4K2C	1	421	12241
PIP5K1A	4	562	51587
PIP5K1B	6	540	303517
PIP5K1C	6	707	70296
PIP5KL1	4	394	9918
PIPOX	3	390	106703
PIR	2	290	108766
PIRT	1	137	15970
PITHD1	2	211	9827
PITPNA	11	270	45098
PITPNM1	11	1244	14495
PITPNM2	22	1349	166535
PITPNM3	16	974	105230
PITX2	2	324	24700
PITX3	2	302	11288
PIWIL1	8	861	34750
PIWIL2	9	973	82266
PIWIL3	22	882	55686
PIWIL4	11	852	77581
PJA1	10	643	4942
PJA2	37	708	75285
PKD1	58	4303	47188
PKD1L1	79	2849	173838
PKD1L2	189	991	0
PKD2	3	968	70109
PKD2L1	27	805	42340
PKD2L2	16	624	54779
PKDCC	23	493	10508
PKDREJ	81	2253	7659
PKHD1	79	4074	472325
PKHD1L1	123	4243	167853
PKIA	1	76	89128
PKLR	4	574	11595
PKM	2	531	32794
PKMYT1	6	568	12515
PKN1	13	948	38814
PKN2	20	984	152033
PKN3	7	889	18395
PKNOX1	4	436	59071
PKNOX2	70	472	268702
PKP1	7	747	49541
PKP2	15	881	106095
PKP3	29	797	12294
PKP4	24	1192	225915
PLA1A	2	456	31969
PLA2G12B	5	195	19608
PLA2G15	4	412	15754
PLA2G16	1	162	43688
PLA2G1B	1	148	5678
PLA2G2A	5	144	5007
PLA2G2D	3	145	7618
PLA2G2E	3	142	3608
PLA2G2F	5	211	11060
PLA2G3	10	509	5798
PLA2G4A	3	749	160028
PLA2G4B	8	781	20062
PLA2G4C	8	551	62974
PLA2G4D	13	818	27545
PLA2G4F	67	851	15507
PLA2G5	1	138	63011
PLA2G6	11	806	94195
PLA2G7	10	441	31492
PLA2R1	24	1463	130602
PLAA	4	795	43380
PLAC8L1	2	177	19983
PLAC9	38	97	13677
PLAG1	6	500	50420
PLAGL1	13	463	124298
PLAGL2	10	496	15288
PLAT	6	562	33006
PLAU	6	431	8320
PLAUR	7	335	24452
PLB1	41	1458	186642
PLBD1	225	553	64688
PLBD2	9	589	30832
PLCB1	11	1216	836179
PLCB2	10	1185	29759
PLCB3	16	1234	17627
PLCB4	60	1194	412479
PLCD1	14	777	22266
PLCD4	6	794	29419
PLCE1	18	2302	338834
PLCG1	10	1291	46029
PLCG2	44	1265	219197
PLCH1	34	1693	369487
PLCL1	16	1095	767879
PLCL2	4	1001	287927
PLCXD1	7	323	27034
PLCXD2	1	305	171771
PLCXD3	6	321	203674
PLCZ1	6	608	54888
PLD1	21	1074	210545
PLD2	17	933	16338
PLD3	3	490	31983
PLD4	3	513	8421
PLD5	5	536	441710
PLD6	2	252	5320
PLEC	139	4684	61581
PLEK	1	350	32280
PLEK2	8	353	25217
PLEKHA1	7	404	57655
PLEKHA3	4	300	35994
PLEKHA4	10	779	31535
PLEKHA5	16	1282	246686
PLEKHA6	15	1068	158814
PLEKHA7	17	1271	236148
PLEKHA8	1	545	103076
PLEKHB1	2	243	16641
PLEKHB2	2	309	248862
PLEKHF1	5	279	10401
PLEKHF2	2	249	22880
PLEKHG1	18	1385	243800
PLEKHG2	42	1386	15829
PLEKHG3	15	1219	42790
PLEKHG4	17	1191	11989
PLEKHG4B	23	1271	49712
PLEKHG5	86	1085	53969
PLEKHG6	6	790	18070
PLEKHG7	5	379	50950
PLEKHH1	24	1364	56311
PLEKHH2	23	1493	130714
PLEKHH3	9	793	9116
PLEKHJ1	4	277	7701
PLEKHM1	4	1056	54849
PLEKHM2	5	1019	50437
PLEKHM3	4	761	197257
PLEKHN1	31	663	9368
PLEKHO1	2	409	15543
PLEKHO2	6	490	26118
PLEKHS1	18	465	31975
PLG	24	810	51077
PLGRKT	3	147	79905
PLIN1	14	522	15062
PLIN2	11	437	40915
PLIN3	10	434	29427
PLIN4	1293	1357	15512
PLIN5	5	463	12693
PLK1	9	603	12711
PLK2	1	685	6278
PLK3	3	646	5765
PLK4	6	970	18334
PLLP	4	182	28595
PLN	1	52	12432
PLOD1	22	774	41333
PLOD2	12	758	94213
PLOD3	4	738	12443
PLP1	5	277	18901
PLP2	2	152	3313
PLRG1	24	514	15429
PLS1	6	629	117277
PLS3	11	630	89680
PLSCR1	49	318	29684
PLSCR3	3	295	0
PLSCR4	5	329	58840
PLSCR5	4	271	29661
PLTP	6	513	13395
PLVAP	3	442	25902
PLXDC1	4	500	91091
PLXDC2	10	529	473617
PLXNA1	48	1896	48798
PLXNA2	44	1894	222078
PLXNA3	26	1871	15365
PLXNA4	65	1894	525356
PLXNB1	26	2135	26333
PLXNB2	39	1838	32648
PLXNB3	33	1932	15150
PLXNC1	33	1568	158952
PLXND1	66	1925	51643
PM20D1	17	502	22110
PM20D2	4	436	19515
PMAIP1	1	136	4358
PMEL	9	668	19212
PMEPA1	5	287	63144
PMF1	2	220	30090
PMF1-BGLAP	2	220	30350
PMFBP1	20	1022	64721
PML	9	882	53139
PMM1	10	262	12996
PMP22	2	161	35548
PMPCA	6	525	13103
PMPCB	3	490	32089
PMS1	6	932	93248
PMS2	151	862	35886
PMVK	3	192	12257
PNCK	3	426	19280
PNISR	32	805	27280
PNKD	16	385	76401
PNKP	30	521	6705
PNLDC1	4	531	20438
PNLIP	11	465	21924
PNLIPRP1	4	467	18790
